clip_id,start_sec,end_sec,duration_ms,speaker_guess,confidence,content_hint,review_status,output_path,source_file,format
sample_001,11.38,14.77,3390,controller,0.9,takeoff clearance,preclassified,controller/controller_001_11.38-14.77.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_002,15.18,19.21,4030,pilot,0.85,readback,preclassified,pilot/pilot_002_15.18-19.21.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_003,25.82,31.38,5560,controller,0.95,Delta takeoff clearance,preclassified,controller/controller_003_25.82-31.38.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_004,36.69,38.54,1850,pilot,0.9,readback,preclassified,pilot/pilot_004_36.69-38.54.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_005,39.13,44.69,5560,controller,0.95,American line up and wait,preclassified,controller/controller_005_39.13-44.69.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_006,49.94,52.96,3020,pilot,0.9,readback,preclassified,pilot/pilot_006_49.94-52.96.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_007,53.53,61.02,7490,pilot,0.7,initial call / request,needs_review,pilot/pilot_007_53.53-61.02.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_008,61.46,63.71,2250,controller,0.95,landing clearance,preclassified,controller/controller_008_61.46-63.71.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_009,64.11,66.84,2730,pilot,0.9,readback,preclassified,pilot/pilot_009_64.11-66.84.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_010,68.76,71.22,2460,controller,0.95,takeoff clearance,preclassified,controller/controller_010_68.76-71.22.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_011,71.76,79.46,7700,pilot,0.95,requests more time / separation,preclassified,pilot/pilot_011_71.76-79.46.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_012,82.63,91.67,9040,controller,0.95,cancel takeoff clearance,preclassified,controller/controller_012_82.63-91.67.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_013,92.17,94.34,2170,pilot,0.9,readback,preclassified,pilot/pilot_013_92.17-94.34.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_014,99.99,103.2,3210,controller,0.8,repeated cancellation,preclassified,controller/controller_014_99.99-103.20.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_015,103.53,105.53,2000,unknown,0.45,short clipped transmission,needs_review,unknown/unknown_015_103.53-105.53.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_016,106.22,109.65,3430,controller,0.8,repeated cancellation,preclassified,controller/controller_016_106.22-109.65.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_017,113.69,123.27,9580,pilot,0.9,cancellation readback,preclassified,pilot/pilot_017_113.69-123.27.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_018,123.55,125.41,1860,controller,0.95,departure frequency instruction,preclassified,controller/controller_018_123.55-125.41.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_019,125.71,128.49,2780,pilot,0.9,frequency readback,preclassified,pilot/pilot_019_125.71-128.49.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_020,128.95,132.35,3400,controller,0.95,landing clearance,preclassified,controller/controller_020_128.95-132.35.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_021,132.96,135.72,2760,pilot,0.9,readback,preclassified,pilot/pilot_021_132.96-135.72.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_022,136.15,139.66,3510,controller,0.95,taxi/hold-short instruction,preclassified,controller/controller_022_136.15-139.66.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_023,140.15,143.23,3080,pilot,0.9,readback,preclassified,pilot/pilot_023_140.15-143.23.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_024,143.66,148.41,4750,controller,0.95,line up and wait,preclassified,controller/controller_024_143.66-148.41.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_025,148.91,150.21,1300,pilot,0.9,readback,preclassified,pilot/pilot_025_148.91-150.21.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_026,155.97,159.08,3110,controller,0.95,departure frequency instruction,preclassified,controller/controller_026_155.97-159.08.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_027,159.38,170.48,11100,controller,0.95,separation admonishment,preclassified,controller/controller_027_159.38-170.48.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_028,171.14,177.37,6230,pilot,0.85,brief acknowledgement,preclassified,pilot/pilot_028_171.14-177.37.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_029,178.56,182.12,3560,controller,0.95,taxi instruction,preclassified,controller/controller_029_178.56-182.12.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_030,182.52,186.72,4200,pilot,0.9,readback,preclassified,pilot/pilot_030_182.52-186.72.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_031,189.71,192.92,3210,pilot,0.75,initial tower call,needs_review,pilot/pilot_031_189.71-192.92.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_032,195.56,202.16,6600,controller,0.95,landing clearance,preclassified,controller/controller_032_195.56-202.16.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_033,202.6,205.12,2520,pilot,0.9,readback,preclassified,pilot/pilot_033_202.60-205.12.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_034,205.38,207.37,1990,controller,0.95,takeoff clearance,preclassified,controller/controller_034_205.38-207.37.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_035,207.84,211.52,3680,pilot,0.9,readback,preclassified,pilot/pilot_035_207.84-211.52.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_036,212.09,214.35,2260,controller,0.95,hold-position instruction,preclassified,controller/controller_036_212.09-214.35.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_037,214.86,218.41,3550,pilot,0.9,readback,preclassified,pilot/pilot_037_214.86-218.41.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_038,218.73,221.94,3210,pilot,0.9,American calls tower,preclassified,pilot/pilot_038_218.73-221.94.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_039,222.23,226.68,4450,controller,0.9,controller acknowledges call,preclassified,controller/controller_039_222.23-226.68.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_040,227.32,228.11,790,pilot,0.7,brief lead-in,needs_review,pilot/pilot_040_227.32-228.11.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_041,232.64,235.92,3280,pilot,0.85,separation complaint part 1,preclassified,pilot/pilot_041_232.64-235.92.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_042,236.57,239.64,3070,pilot,0.85,separation complaint part 2,preclassified,pilot/pilot_042_236.57-239.64.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_043,239.91,241.34,1430,pilot,0.8,separation complaint part 3,preclassified,pilot/pilot_043_239.91-241.34.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_044,245.14,247.54,2400,controller,0.9,controller response,preclassified,controller/controller_044_245.14-247.54.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_045,251.34,255.42,4080,pilot,0.9,pilot response,preclassified,pilot/pilot_045_251.34-255.42.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_046,258.38,264.55,6170,controller,0.85,possible deviation / phone instruction,preclassified,controller/controller_046_258.38-264.55.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
sample_047,269.48,276.41,6930,pilot,0.75,readback / ready to copy,needs_review,pilot/pilot_047_269.48-276.41.wav,American Airlines Pilot CONFRONTS Controller Over Takeoff Separation.mp3,wav_pcm_s16le_8000hz_mono
